dt,gender,age,chainname,number_visit
2015-07-11,male,Under_18,Popeyes Louisiana Kitchen,1
2015-07-12,male,25_34,Chick-fil-A,300
2015-07-12,male,65_plus,Popeyes Louisiana Kitchen,19
2015-07-12,male,35_44,Popeyes Louisiana Kitchen,214
2015-07-12,female,25_34,Chick-fil-A,273
2015-07-12,female,35_44,Chick-fil-A,190
2015-07-12,female,25_34,Popeyes Louisiana Kitchen,214
2015-07-12,female,Under_18,Chick-fil-A,1
2015-07-12,female,35_44,Popeyes Louisiana Kitchen,134
2015-07-12,male,35_44,Chick-fil-A,317
2015-07-12,male,65_plus,Chick-fil-A,20
2015-07-12,female,55_64,Popeyes Louisiana Kitchen,29
2015-07-12,female,Under_18,Popeyes Louisiana Kitchen,1
2015-07-12,female,65_plus,Popeyes Louisiana Kitchen,11
2015-07-12,female,45_54,Popeyes Louisiana Kitchen,64
2015-07-12,female,65_plus,Chick-fil-A,19
2015-07-12,female,18_24,Popeyes Louisiana Kitchen,35
2015-07-12,female,55_64,Chick-fil-A,51
2015-07-12,female,18_24,Chick-fil-A,66
2015-07-12,male,55_64,Chick-fil-A,59
2015-07-12,male,45_54,Chick-fil-A,169
2015-07-12,male,18_24,Chick-fil-A,42
2015-07-12,male,25_34,Popeyes Louisiana Kitchen,270
2015-07-12,female,45_54,Chick-fil-A,118
2015-07-12,male,18_24,Popeyes Louisiana Kitchen,34
2015-07-12,male,45_54,Popeyes Louisiana Kitchen,126
2015-07-12,male,55_64,Popeyes Louisiana Kitchen,40
2015-07-13,female,18_24,Chick-fil-A,163
2015-07-13,female,35_44,Popeyes Louisiana Kitchen,111
2015-07-13,male,Under_18,Chick-fil-A,4
2015-07-13,female,25_34,Popeyes Louisiana Kitchen,176
2015-07-13,male,55_64,Popeyes Louisiana Kitchen,45
2015-07-13,male,25_34,Popeyes Louisiana Kitchen,252
2015-07-13,female,Under_18,Chick-fil-A,10
2015-07-13,female,45_54,Chick-fil-A,353
2015-07-13,female,55_64,Chick-fil-A,148
2015-07-13,female,65_plus,Popeyes Louisiana Kitchen,13
2015-07-13,female,35_44,Chick-fil-A,622
